name	id	definition	comment	broad	exact	related
transitional myocyte of interventricular septum	CL_1000362	A transitional myocyte that is part of the interventricular septum.				
transitional myocyte of atrial branch of anterior internodal tract	CL_1000363	A transitional myocyte that is part of the atrial branch of anterior internodal tract.				
transitional myocyte of anterior internodal tract	CL_1000364	A transitional myocyte that is part of the anterior internodal tract.				
transitional myocyte of atrial septal branch of anterior internodal tract	CL_1000365	A transitional myocyte that is part of the atrial septal branch of anterior internodal tract.				
transitional myocyte of middle internodal tract	CL_1000366	A transitional myocyte that is part of the middle internodal tract.				
transitional myocyte of posterior internodal tract	CL_1000367	A transitional myocyte that is part of the posterior internodal tract.				
transitional myocyte of anterior division of left branch of atrioventricular bundle	CL_1000368	A transitional myocyte that is part of the anterior division of left branch of atrioventricular bundle.				
transitional myocyte of septal division of left branch of atrioventricular bundle	CL_1000369	A transitional myocyte that is part of the septal division of left branch of atrioventricular bundle.				
transitional myocyte of left branch of atrioventricular bundle	CL_1000370	A transitional myocyte that is part of the left branch of atrioventricular bundle.				
transitional myocyte of right branch of atrioventricular bundle	CL_1000371	A transitional myocyte that is part of the right branch of atrioventricular bundle.				
transitional myocyte of atrial part of atrioventricular bundle	CL_1000372	A transitional myocyte that is part of the atrial part of atrioventricular bundle.				
transitional myocyte of ventricular part of atrioventricular bundle	CL_1000373	A transitional myocyte that is part of the ventricular part of atrioventricular bundle.				
transitional myocyte of posterior division of left branch of atrioventricular bundle	CL_1000374	A transitional myocyte that is part of the posterior division of left branch of atrioventricular bundle.				
myocardial endocrine cell of septal division of left branch of atrioventricular bundle	CL_1000375	A myocardial endocrine cell that is part of the septal division of left branch of atrioventricular bundle.				
Purkinje myocyte of interventricular septum	CL_1000376	A Purkinje myocyte that is part of the interventricular septum.				
dense-core granulated cell of epithelium of trachea	CL_1000377	A Feyrter cell that is part of the epithelium of trachea.				
type 1 vestibular sensory cell of stato-acoustic epithelium	CL_1000378	A type I vestibular sensory cell that is part of the stato-acoustic epithelium.				
type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth	CL_1000379	A type I vestibular sensory cell that is part of the epithelium of macula of utricle of membranous labyrinth.				
type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth	CL_1000380	A type I vestibular sensory cell that is part of the epithelium of macula of saccule of membranous labyrinth.				
type 1 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth	CL_1000381	A type I vestibular sensory cell that is part of the epithelium of crista of ampulla of semicircular duct of membranous labyrinth.				
type 2 vestibular sensory cell of stato-acoustic epithelium	CL_1000382	A type II vestibular sensory cell that is part of the stato-acoustic epithelium.				
type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth	CL_1000383	A type II vestibular sensory cell that is part of the epithelium of macula of utricle of membranous labyrinth.				
type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth	CL_1000384	A type II vestibular sensory cell that is part of the epithelium of macula of saccule of membranous labyrinth.				
type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth	CL_1000385	A type II vestibular sensory cell that is part of the epithelium of crista of ampulla of semicircular duct of membranous labyrinth.				
melanocyte of eyelid	CL_1000391	A melanocyte that is part of the eyelid.			eyelid melanocyte|sebaceous gland of wolff	
myoepithelial cell of intralobular lactiferous duct	CL_1000394	A myoepithelial cell that is part of the intralobular part of terminal lactiferous duct.				
endothelial cell of venous sinus of red pulp of spleen	CL_1000397	An endothelial cell that is part of the venous sinus of red pulp of spleen.	todo - add logical definition to UBERON:0009967			
endothelial cell of hepatic sinusoid	CL_1000398	An endothelial cell that is part of the hepatic sinusoid. These cells possess flattened areas containing perforations about 0.1 micrometers in diameter, known as fenestrae. The fenestrae are arranged in groups known as sieve plates.			endotheliocyte of hepatic sinusoid|LSEC|liver sinusoidal endothelial cell	
epithelial cell of appendix	CL_1000405	An epithelial cell that is part of the appendix.			epithelial cell of vermiform appendix|columnar epitheliocyte of appendix	
myocyte of sinoatrial node	CL_1000409	A muscle cell that is part of the sinoatrial node.			sinuatrial node myocyte|sinoatrial node cell|myocyte of sinoatrial node|SA nodal myocyte|SA node cardiac muscle cell|sinoatrial node myocyte	
myocyte of atrioventricular node	CL_1000410	A muscle cell that is part of the atrioventricular node.			AV node cell|AV node cardiac muscle cell|atrioventricular node cell|AV nodal myocyte|atrioventricular node myocyte	
endothelial cell of Peyer's patch	CL_1000411	An endothelial cell that is part of the small intestine Peyer's patch.				
endothelial cell of arteriole	CL_1000412	An endothelial cell that is part of the arteriole.				
endothelial cell of artery	CL_1000413	A blood vessel endothelial cell that is part of an arterial endothelium.			arterial endothelial cell	
endothelial cell of venule	CL_1000414	An endothelial cell that is part of the venule.				
epithelial cell of gall bladder	CL_1000415	An epithelial cell that is part of the gallbladder.				
myoepithelial cell of lactiferous gland	CL_1000416	A myoepithelial cell that is part of the mammary gland.			basal cell of lactiferous duct	
myoepithelial cell of sweat gland	CL_1000417	A myoepithelial cell that is part of the sweat gland.				
myoepithelial cell of lactiferous alveolus	CL_1000418	A myoepithelial cell that is part of the mammary gland alveolus.			myoepithelial cell of mammary alveolus|basal cell of alveolus of lactiferous gland	
myoepithelial cell of lactiferous duct	CL_1000419	A myoepithelial cell that is part of the lactiferous duct.				
myoepithelial cell of terminal lactiferous duct	CL_1000420	A myoepithelial cell that is part of the terminal lactiferous duct.				
chromaffin cell of paraaortic body	CL_1000424	A chromaffin cell that is part of the paraaortic body.			chromaffin cell of para-aortic body	
chromaffin cell of paraganglion	CL_1000425	A chromaffin cell that is part of the paraganglion.				
chromaffin cell of adrenal gland	CL_1000426	A chromaffin cell that is part of the adrenal gland.			adrenal chromaffin cell	
adrenal cortex chromaffin cell	CL_1000427	A chromaffin cell that is part of the adrenal cortex.	Not clear this cell type exists. Can't call it a cortical adrenal cell because of different germ layer origin.		chromaffin cell of adrenal cortex	
stem cell of epidermis	CL_1000428	A somatic stem cell that is part of the epidermis.			epidermal stem cell	
conjunctival epithelial cell	CL_1000432	An epithelial cell that is part of the conjunctiva.			epithelial cell of conjunctiva	
epithelial cell of lacrimal canaliculus	CL_1000433	An epithelial cell that is part of the lacrimal canaliculus.				
epithelial cell of external acoustic meatus	CL_1000434	An epithelial cell that is part of the external acoustic meatus.				
epithelial cell of lacrimal duct	CL_1000435	An epithelial cell that is part of the lacrimal duct.				
epithelial cell of lacrimal sac	CL_1000436	An epithelial cell that is part of the lacrimal sac.				
epithelial cell of nasolacrimal duct	CL_1000437	An epithelial cell that is part of the nasolacrimal duct.				
epithelial cell of wall of inferior part of anal canal	CL_1000438	An epithelial cell that is part of the wall of inferior part of anal canal.				
epithelial cell of viscerocranial mucosa	CL_1000441	An epithelial cell that is part of the viscerocranial mucosa.				
urothelial cell of trigone of urinary bladder	CL_1000442	An urothelial cell that is part of the trigone of urinary bladder.			epithelial cell of vesical trigone	
ciliary muscle cell	CL_1000443	A smooth muscle cell that is part of the ciliary body.			smooth muscle cell of ciliary body	
mesothelial cell of anterior chamber of eye	CL_1000444	A mesothelial cell that is part of the anterior chamber of eyeball.				
myoepithelial cell of dilator pupillae	CL_1000445	A myoepithelial cell that is part of the dilatator pupillae.				
epithelial cell of stratum germinativum of esophagus	CL_1000447	A basal cell that is part of the epithelium of esophagus.			basal cell of esophageal epithelium	
epithelial cell of sweat gland	CL_1000448	An epithelial cell that is part of the sweat gland.				
epithelial cell of nephron	CL_1000449	An epithelial cell that is part of the nephron.				
epithelial cell of glomerular capsule	CL_1000450	An epithelial cell that is part of the glomerular capsule.			Bowmans capsule epithelial cell|epithelial cell of Bowman's capsule	
obsolete epithelial cell of visceral layer of glomerular capsule	CL_1000451					
parietal epithelial cell	CL_1000452	An epithelial cell that is part of the glomerular parietal epithelium.			epithelial cell of parietal layer of glomerular capsule	
epithelial cell of intermediate tubule	CL_1000453	An epithelial cell that is part of the intermediate tubule.				
kidney collecting duct epithelial cell	CL_1000454	An epithelial cell that is part of the collecting duct of renal tubule.			epithelial cell of renal collecting tubule	
mesothelial cell of parietal peritoneum	CL_1000456	A mesothelial cell that is part of the parietal peritoneum.				
mesothelial cell of visceral peritoneum	CL_1000457	A mesothelial cell that is part of the visceral peritoneum.				
melanocyte of skin	CL_1000458	A melanocyte that is part of the skin of body.			skin melanocyte	
chromaffin cell of ovary	CL_1000465	A chromaffin cell that is part of the ovary.				
chromaffin cell of right ovary	CL_1000466	A chromaffin cell that is part of the right ovary.				
chromaffin cell of left ovary	CL_1000467	A chromaffin cell that is part of the left ovary.				
myoepithelial cell of acinus of lactiferous gland	CL_1000468	A myoepithelial cell that is part of the acinus of lactiferous gland.			basal cell of acinus of lactiferous gland	
myoepithelial cell of main lactiferous duct	CL_1000469	A myoepithelial cell that is part of the main lactiferous duct.				
myoepithelial cell of primary lactiferous duct	CL_1000470	A myoepithelial cell that is part of the primary lactiferous duct.				
myoepithelial cell of secondary lactiferous duct	CL_1000471	A myoepithelial cell that is part of the secondary lactiferous duct.				
myoepithelial cell of tertiary lactiferous duct	CL_1000472	A myoepithelial cell that is part of the tertiary lactiferous duct.				
myoepithelial cell of quarternary lactiferous duct	CL_1000473	A myoepithelial cell that is part of the quarternary lactiferous duct.				
cardiac pacemaker cell of sinoatrial node	CL_1000477	A nodal myocyte that is part of the sinoatrial node.			cardiac pacemaker cell of sinuatrial node|pacemaker cell of sinoatrial node|pacemaker cell of sinuatrial node	
transitional myocyte of sinoatrial node	CL_1000478	A transitional myocyte that is part of the sinoatrial node.			transitinal myocyte of sinuatrial node	
Purkinje myocyte of atrioventricular node	CL_1000479	A Purkinje myocyte that is part of the atrioventricular node.				
transitional myocyte of internodal tract	CL_1000480	A transitional myocyte that is part of the internodal tract.				
transitional myocyte of atrioventricular bundle	CL_1000481	A transitional myocyte that is part of the atrioventricular bundle.				
myocardial endocrine cell of interventricular septum	CL_1000482	A myocardial endocrine cell that is part of the interventricular septum.				
Purkinje myocyte of internodal tract	CL_1000483	A Purkinje myocyte that is part of the internodal tract.				
Purkinje myocyte of atrioventricular bundle	CL_1000484	A Purkinje myocyte that is part of the atrioventricular bundle.				
basal cell of urothelium	CL_1000486	A basal cell that is part of the urothelium.				
smooth muscle cell of prostate	CL_1000487	A smooth muscle cell that is part of the prostate gland.			smooth muscle fiber of prostate	
reticular cell of splenic cord	CL_1000489	A reticular cell that is part of the splenic cord.				
mesothelial cell of peritoneum	CL_1000490	A mesothelial cell that is part of the peritoneum.			peritoneal mesothelial cell	
mesothelial cell of pleura	CL_1000491	A mesothelial cell that is part of the pleura.			pleural mesothelial cell	
mesothelial cell of parietal pleura	CL_1000492	A mesothelial cell that is part of the parietal pleura.				
mesothelial cell of visceral pleura	CL_1000493	A mesothelial cell that is part of the visceral pleura.				
nephron tubule epithelial cell	CL_1000494	An epithelial cell that is part of a nephron tubule.	This needs to be further defined as a juxtamedullary nephron. Will request the juxtamedullary nephron tubule class from UBERON.		kidney tubule epithelial cell	
small intestine goblet cell	CL_1000495	A goblet cell that is part of the small intestine.			goblet cell of epithelium of small intestine|small intestinal goblet cell|goblet cell of small intestine	
kidney cell	CL_1000497					
kidney interstitial cell	CL_1000500					
kidney medulla cell	CL_1000504					
kidney pelvis cell	CL_1000505					
kidney tubule cell	CL_1000507					
kidney glomerular epithelial cell	CL_1000510					
kidney medulla collecting duct epithelial cell	CL_1000546					
kidney inner medulla collecting duct epithelial cell	CL_1000547					
kidney outer medulla collecting duct epithelial cell	CL_1000548					
kidney cortex collecting duct epithelial cell	CL_1000549					
kidney papillary duct principal epithelial cell	CL_1000550					
inner renal cortex cell	CL_1000596					
papillary tips cell	CL_1000597					
lower urinary tract cell	CL_1000600					
ureteral cell	CL_1000601					
kidney nerve cell	CL_1000606					
kidney corpuscule cell	CL_1000612					
kidney cortex tubule cell	CL_1000615					
kidney outer medulla cell	CL_1000616					
kidney inner medulla cell	CL_1000617					
juxtaglomerular complex cell	CL_1000618				juxtaglomerulus cell	
kidney cortex interstitial cell	CL_1000681					
kidney medulla interstitial cell	CL_1000682					
kidney interstitial myofibroblast	CL_1000691					
kidney interstitial fibroblast	CL_1000692					
kidney interstitial fibrocyte	CL_1000693					
kidney interstitial alternatively activated macrophage	CL_1000695					
kidney interstitial inflammatory macrophage	CL_1000696					
kidney interstitial suppressor macrophage	CL_1000697					
kidney resident macrophage	CL_1000698					
kidney resident dendritic cell	CL_1000699					
kidney pelvis smooth muscle cell	CL_1000702					
kidney pelvis urothelial cell	CL_1000703					
ureter urothelial cell	CL_1000706					
ureter adventitial cell	CL_1000708					
kidney cortex collecting duct principal cell	CL_1000714					
kidney cortex collecting duct intercalated cell	CL_1000715					
kidney outer medulla collecting duct principal cell	CL_1000716					
kidney outer medulla collecting duct intercalated cell	CL_1000717					
kidney inner medulla collecting duct principal cell	CL_1000718					
kidney inner medulla collecting duct intercalated cell	CL_1000719					
kidney papillary duct intercalated cell	CL_1000720					
kidney papillary duct principal cell	CL_1000721					
glomerular mesangial cell	CL_1000742	Intraglomerular mesangial cells are specialized pericytes located among the glomerular capillaries within a renal corpuscle of a kidney.			intraglomerular mesangial cell	
glomerular cell	CL_1000746					
kidney connecting tubule epithelial cell	CL_1000768					
kidney inner medulla interstitial cell	CL_1000803					
kidney outer medulla interstitial cell	CL_1000804					
kidney proximal convoluted tubule epithelial cell	CL_1000838					
kidney proximal straight tubule epithelial cell	CL_1000839					
kidney distal convoluted tubule epithelial cell	CL_1000849					
macula densa epithelial cell	CL_1000850					
kidney blood vessel cell	CL_1000854					
kidney arterial blood vessel cell	CL_1000891					
kidney capillary endothelial cell	CL_1000892					
kidney venous blood vessel cell	CL_1000893					
kidney loop of Henle epithelial cell	CL_1000909					
ureter smooth muscle cell	CL_1000979					
glomerular capillary endothelial cell	CL_1001005					
kidney afferent arteriole cell	CL_1001006					
kidney efferent arteriole cell	CL_1001009					
kidney loop of Henle ascending limb epithelial cell	CL_1001016					
kidney loop of Henle descending limb epithelial cell	CL_1001021					
peritubular capillary endothelial cell	CL_1001033					
vasa recta cell	CL_1001036					
kidney cortex artery cell	CL_1001045					
kidney cortex vein cell	CL_1001052					
kidney artery smooth muscle cell	CL_1001064		Note that the source of this term is KUPO:0001096 (artery smooth muscle cell), which we believe actually denotes the kidney specific structure.			
kidney arteriole smooth muscle cell	CL_1001066		Note that the source of this term is KUPO:0001098 (arteriole smooth muscle cell), which we believe actually denotes the kidney specific structure.			
kidney venous system smooth muscle cell	CL_1001068		Note that the source of this term is KUPO:0001068 (venous system smooth muscle cell), which we believe actually denotes the kidney specific structure.			
kidney afferent arteriole endothelial cell	CL_1001096					
kidney afferent arteriole smooth muscle cell	CL_1001097					
kidney efferent arteriole endothelial cell	CL_1001099					
kidney efferent arteriole smooth muscle cell	CL_1001100					
kidney loop of Henle thick ascending limb epithelial cell	CL_1001106					
kidney loop of Henle thin ascending limb epithelial cell	CL_1001107					
kidney loop of Henle medullary thick ascending limb epithelial cell	CL_1001108					
kidney loop of Henle cortical thick ascending limb epithelial cell	CL_1001109					
kidney loop of Henle thin descending limb epithelial cell	CL_1001111					
kidney outer medulla peritubular capillary cell	CL_1001123					
kidney cortex peritubular capillary cell	CL_1001124					
inner renal medulla vasa recta cell	CL_1001126					
outer renal medulla vasa recta cell	CL_1001127					
vasa recta ascending limb cell	CL_1001131					
arcuate artery cell	CL_1001135					
interlobular artery cell	CL_1001138					
arcuate vein cell	CL_1001142					
interlobular vein cell	CL_1001145					
inner medulla vasa recta ascending limb cell	CL_1001209					
outer medulla vasa recta ascending limb cell	CL_1001210					
arcuate artery endothelial cell	CL_1001213					
arcuate artery smooth muscle cell	CL_1001214					
interlobulary artery endothelial cell	CL_1001216					
interlobulary artery smooth muscle cell	CL_1001217					
arcuate vein endothelial cell	CL_1001220					
arcuate vein smooth muscle cell	CL_1001221					
interlobulary vein endothelial cell	CL_1001223					
interlobulary vein smooth muscle cell	CL_1001224					
kidney collecting duct cell	CL_1001225					
vasa recta descending limb cell	CL_1001285					
inner medulla vasa recta descending limb cell	CL_1001286					
outer medulla vasa recta descending limb cell	CL_1001287					
renal interstitial pericyte	CL_1001318					
bladder cell	CL_1001319					
urethra cell	CL_1001320					
bladder urothelial cell	CL_1001428					
urethra urothelial cell	CL_1001430					
kidney collecting duct principal cell	CL_1001431					
kidney collecting duct intercalated cell	CL_1001432					
epithelial cell of exocrine pancreas	CL_1001433	An epithelial cell of the exocrine pancreas.			exocrine pancreas cell	
olfactory bulb interneuron	CL_1001434	A neuron residing in the olfactory bulb that serve to process and refine signals arising from olfactory sensory neurons				
periglomerular cell	CL_1001435	The small neuron in the glomerular layer of the olfactory bulb whose dendrites arborize within a glomerulus, where it receives synaptic input from olfactory receptor cell axon terminals, and also engages in dendrodendritic interactions with mitral and tufted cell dendrites; uses both GABA and dopamine as a neurotransmitter.			olfactory bulb glomerular layer cell|olfactory bulb periglomerular cell|olfactory bulb (accessory) glomerular layer cell|glomerular layer cell|periglomerular cell|olfactory bulb glomerularal cell	
hair-tylotrich neuron	CL_1001436	The subcutaneous mechanoreceptors that innervate tylotrich hair follicles.				
hair-down neuron	CL_1001437	The subcutaneous mechanoreceptors that innervate vellus hairs.				
sensory neuron of dorsal root ganglion	CL_1001451	A sensory neuron of the dorsal root ganglia that senses body position and sends information about how much the muscle is stretched to the spinal cord.			proprioceptive neuron	
medium spiny neuron	CL_1001474	The inhibitory projection neurons located in the striatum that integrate glutamatergic signals arising from the cerebral cortex and thalamus.			striatal medium spiny neuron	medium-sized densely spiny neuron
mitral cell	CL_1001502	The large glutaminergic nerve cells whose dendrites synapse with axons of the olfactory receptor neurons in the glomerular layer of the olfactory bulb, and whose axons pass centrally in the olfactory tract to the olfactory cortex.				
olfactory bulb tufted cell	CL_1001503	The principal glutaminergic neuron located in the outer third of the external plexiform layer of the olfactory bulb; a single short primary dendrite traverses the outer external plexiform layer and terminates within an olfactory glomerulus in a tuft of branches, where it receives the input from olfactory receptor neuron axon terminals; axons of the tufted cells transfer information to a number of areas in the brain, including the piriform cortex, entorhinal cortex, olfactory tubercle, and amygdala.				
parvocellular neurosecretory cell	CL_1001505	The secretory neurons of the paraventricular nucleus that synthesize and secrete vasopressin, corticotropin-releasing factor (CRF) and thyrotropin-releasing hormone (TRH) into blood vessels in the hypothalamo-pituitary portal system.			parvocellular neurosecretory neuron|parvocellular neuron	
glycinergic neuron	CL_1001509	The neurons that utilize glycine as a neurotransmitter.				
intestinal enteroendocrine cell	CL_1001516	The various hormone- or neurotransmitter-secreting cells present throughout the mucosa of the intestinal tract.				
stomach enteroendocrine cell	CL_1001517	The various hormone- or neurotransmitter-secreting cells present throughout the mucosa of the stomach.				
vomeronasal sensory neuron	CL_1001561	Chemosensitive cells that innervate the vomernasal organ epithelium and are responsible for receiving and transmitting pheromone signals.				
bronchioalveolar stem cells	CL_1001566	A respiratory stem cell found at the junction of the terminal (conductive) bronchiole and the respiratory bronchiole, which gives rise to alveolar cell types and club cells in response to lung injury.				
lung endothelial cell	CL_1001567					endothelial cell of lung|pulmonary vessel endothelial cell
pulmonary artery endothelial cell	CL_1001568					PAEC cell
hippocampal interneuron	CL_1001569	An interneuron of the hippocampus.				
hippocampal pyramidal neuron	CL_1001571	A pyramidal neuron of the hippocampus.			hippocampus (CA) pyramidal cell|hippocampus (CA) pyramidal neuron	
colon endothelial cell	CL_1001572	A vascular endothelial cell found in colon blood vessels.				colon endothelial cells|colonic endothelial cell
nasopharyngeal epithelial cell	CL_1001573	Cell of the nasopharyngeal epithelium.				nasopharynx respiratory epithelial cells
uterine cervix squamous cell	CL_1001575	Squamous cell of uterine cervix epithelium.				uterine cervix squamous epithelial cell|cervix squamous cell|cervix squamous epithelial cell|uterine cervix squamous epithelial cells|cervix, uterine squamous epithelial cells
oral mucosa squamous cell	CL_1001576	Squamous cell of oral epithelium.				oral cavity mucosa squamous cell|oral mucosa squamous epithelial cell|oral cavity mucosa squamous epithelial cell|oral mucosa squamous epithelial cells
tonsil squamous cell	CL_1001577	Squamous cell of tonsil epithelium.				tonsillar squamous epithelial cell|tonsillar squamous cell|tonsil squamous epithelial cell|tonsil squamous epithelial cells
vagina squamous cell	CL_1001578	Squamous cell of vaginal epithelium.				vagina squamous epithelial cells|vaginal squamous epithelial cell|vaginal squamous cell|vagina squamous epithelial cell
cerebral cortex glial cell	CL_1001579	Glial cell of cerebral cortex.				cerebrum cortex glial cell|brain cortex glial cell|cerebral cortex glial cells
hippocampus glial cell	CL_1001580	Glial cell of hippocampus.				hippocampus neuroglial cell|hippocampus glial cells|hippocampal glial cell
lateral ventricle glial cell	CL_1001581	Glial cell of lateral ventricle.				lateral ventricle glial cells
lateral ventricle neuron	CL_1001582	Neuron of lateral ventricle.				lateral ventricle neural cell|lateral ventricle neuronal cells|lateral ventricle neuronal cell
obsolete breast adipocyte	CL_1001583	OBSOLETE: Adipocytes found in the subcutaneous adipose tissue of breast. The breast consists of three main components, the skin, the subcutaneous adipose tissue and the functional glandular tissue that comprises both parenchyma and stroma.				breast adipocytes
appendix glandular cell	CL_1001585	Glandular cell of appendix epithelium. Example: Goblet cells; enterocytes or absorptive cells; enteroendocrine and M cells.				vermiform appendix glandular cell|appendix glandular cells|cecal appendix glandular cell|caecal appendix glandular cell
mammary gland glandular cell	CL_1001586	Glandular cell of mammary epithelium. Example: glandular cells of large and intermediate ducts, glandular cells in terminal ducts.				mammary glandular cell|breast glandular cells|breast glandular cell
uterine cervix glandular cell	CL_1001587	Glandular cell of uterine cervix epithelium.				cervix glandular cell|cervix, uterine glandular cells|cervix, uterine glandular cell
colon glandular cell	CL_1001588	Glandular cell of colon epithelium. Example: Goblet cells; enterocytes or absorptive cells; enteroendocrine and M cells.				colon glandular cells
duodenum glandular cell	CL_1001589	Glandular cell of duodenal epithelium. Example: Enterocytes, Goblet cells, enteroendocrine cells; Paneth cells; M cells; Brunner's gland cell.				duodenum glandular cells
epididymis glandular cell	CL_1001590	Glandular cell of epididymal epithelium.				epididymal glandular cell|epididymis glandular cells
oviduct glandular cell	CL_1001591	Glandular cell of oviduct epithelium. Example: peg cells, ciliated cells.				uterine tube glandular cell|fallopian tube glandular cell|fallopian tube glandular cells
gall bladder glandular cell	CL_1001592	Glandular cell of gall bladder epithelium.				gall bladder glandular cells|gallbladder glandular cells|gallbladder glandular cell
parathyroid glandular cell	CL_1001593	Glandular cell of parathyroid epithelium. Example: Parathyroid chief cell and parathyroid oxyphil cells.				parathyroid gland glandular cell|parathyroid gland glandular cells
rectum glandular cell	CL_1001595	Glandular cell of rectal epithelium. Example: Goblet cell; enterocytes or absorptive cells; enteroendocrine and M cells.				rectal glandular cell|rectum glandular cells
salivary gland glandular cell	CL_1001596	Glandular cell of salivary gland. Example: Serous cells, mucous cells, cuboidal epithelial cells of the intercalated ducts, simple cuboidal epithelium of the striated ducts, epithelial cells of excretory ducts.				salivary gland glandular cells
seminal vesicle glandular cell	CL_1001597	Glandular cell of seminal vesicle epithelium.				seminal vesicle glandular cells
small intestine glandular cell	CL_1001598	A glandular cell found in the epithelium of the small intestine. Example: Enterocytes, Goblet cells, enteroendocrine cells; Paneth cells; M cells; Somatostatin-secreting Cells (D-cells) .				small bowel glandular cell|small intestine glandular cells|small intestinal glandular cell
pancreas exocrine glandular cell	CL_1001599	Glandular cell of exocrine pancreas epithelium. Example: pancreatic acinar cell, glandular cells in pancreatic canaliculi, glandular cells in pancreatic ducts.				exocrine pancreas glandular cell|pancreas exocrine glandular cells
adrenal gland glandular cell	CL_1001601	Hormone secreting cell located in the cortex of adrenal gland. Glandular cells in the adrenal cortex secrete mineralocorticoids, glucocorticoids and androgens.				adrenal gland glandular cells|adrenal glandular cell|suprarenal gland glandular cell
cerebral cortex endothelial cell	CL_1001602	Endothelial cells forming the walls of the capillaries within the cerebral cortex.				endothelial cells of cerebral cortex|cerebral cortex endothelial cells
lung macrophage	CL_1001603	Circulating macrophages and tissue macrophages (alveolar macrophages) of lung.				lung macrophages
foreskin keratinocyte	CL_1001606	Keratinocyte from foreskin.				
articular chondrocyte	CL_1001607	Chondrocyte forming the hyaline cartilage found in joints.				
foreskin fibroblast	CL_1001608	Fibroblast from foreskin.			BJ fibroblast	
muscle fibroblast	CL_1001609	Fibroblast from muscle organ.				
bone marrow hematopoietic cell	CL_1001610	Hematopoietic cells resident in the bone marrow. Include: hematopoietic stem cells (lymphoid stem cells and myeloid stem cells) and the precursor cells for thrombocytes, erythrocytes, basophils, neutrophils, eosinophils, monocytes and lymphocytes.				bone marrow hematopoietic cells|bone marrow poietic cells
cerebellar neuron	CL_1001611	Neuron of the cerebellum.				cerebellum neuron
epidermal melanocyte	CL_2000000	Any melanocyte that is part of a epidermis.	These cells are found primarily, but not exclusively, in primates including humans			
peripheral blood mononuclear cell	CL_2000001	A leukocyte with a single non-segmented nucleus in the mature form found in the circulatory pool of blood.				
decidual cell	CL_2000002	A specialized, enlarged, connective tissue cell of the decidua with enlarged nucleus, dense membrane‐bound secretory granules and cytoplasmic accumulation of glycogen and lipid droplets. These cells develop by the transformation of endometrial stromal cells during decidualization.			decidual stromal cell|decidua cell	
pituitary gland cell	CL_2000004	Any cell that is part of a pituitary gland.				
brain macroglial cell	CL_2000005	Any macroglial cell that is part of a brain.				
tonsil germinal center B cell	CL_2000006	Any germinal center B cell that is part of a tonsil.				
articular chondrocyte of knee joint	CL_2000007	Chondrocyte forming the hyaline cartilage found in the knee joint.				
microvascular endothelial cell	CL_2000008	Any blood vessel endothelial cell that is part of a microvascular endothelium.				
obsolete microvascular endothelium blood vessel endothelial cell	CL_2000009	Any blood vessel endothelial cell that is part of a microvascular endothelium.				
dermis blood vessel endothelial cell	CL_2000010	Any blood vessel endothelial cell that is part of a dermis.				
dermis lymphatic vessel endothelial cell	CL_2000011	Any endothelial cell of lymphatic vessel that is part of a dermis.				
fibroblast of pedal digit skin	CL_2000012	Any skin fibroblast that is part of a pedal digit skin.				
fibroblast of skin of abdomen	CL_2000013	Any skin fibroblast that is part of a skin of abdomen.				
fibroblast of upper leg skin	CL_2000014	Any skin fibroblast that is part of a upper leg skin.				
fibroblast of arm	CL_2000015	Any skin fibroblast that is part of a arm.				
lung microvascular endothelial cell	CL_2000016	Any lung endothelial cell that is part of a microvascular endothelium.				
fibroblast of peridontal ligament	CL_2000017	Any fibroblast that is part of a periodontal ligament.				
endothelial cell of coronary artery	CL_2000018	Any endothelial cell of artery that is part of a coronary artery.				
compound eye photoreceptor cell	CL_2000019	Any photoreceptor cell that is part of a compound eye.				
inner cell mass cell	CL_2000020	Any native cell that is part of a inner cell mass.				
sebaceous gland cell	CL_2000021	Any native cell that is part of a sebaceous gland.				
cardiac septum cell	CL_2000022	Any native cell that is part of a cardiac septum.				
spinal cord ventral column interneuron	CL_2000023	Any interneuron that is part of a spinal cord ventral column.				
spinal cord medial motor column neuron	CL_2000024	Any neuron that is part of a spinal cord medial motor column.				
spinal cord oligodendrocyte	CL_2000025	Any oligodendrocyte that is part of a spinal cord.				
obsolete cerebellum Golgi cell	CL_2000026	Any Golgi cell that is part of a cerebellum.				
cerebellum basket cell	CL_2000027	Any basket cell that is part of a cerebellum.				
cerebellum glutamatergic neuron	CL_2000028	Any glutamatergic neuron that is part of a cerebellum.				
central nervous system neuron	CL_2000029	Any neuron that is part of a central nervous system.				
hypothalamus cell	CL_2000030	Any native cell that is part of a hypothalamus.				
lateral line ganglion neuron	CL_2000031	Any neuron that is part of a lateral line ganglion.				
peripheral nervous system neuron	CL_2000032	Any neuron that is part of a peripheral nervous system.				
limb basal cell of epidermis	CL_2000033	Any basal cell of epidermis that is part of a limb.				
anterior lateral line neuromast hair cell	CL_2000034	Any neuromast hair cell that is part of a anterior lateral line.				
anterior lateral line neuromast mantle cell	CL_2000035	Any neuromast mantle cell that is part of a anterior lateral line.				
